Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Maintenance,Salaries Cell Allowance,240,240,2016,2016-5213-520-80960-00000000-SLUDM   -5021-
Electric Fund,Salaries/Benefit Exp,Elec T&D Oper Super & Engineer,Benefits Workers Comp Ins,3717,3717,2016,2016-5211-500-80870-00000000-580     -5057-
Wastewater Fund,Salaries/Benefit Exp,WW Collection Maintenance,Benefits Group Health Ins,117189,117189,2016,2016-5213-520-80950-00000000-SCMTM   -5055-
General Fund,Salaries/Benefit Exp,Genl Fd Fire Suppression,Benefits Car Allowance,3610,3610,2016,2016-1001-420-80420-00000000-00000000-5061
General Fund,Salaries/Benefit Exp,Genl Fd Rec Sports Admin,Benefits Workers Comp Ins,1560,1560,2016,2016-1001-530-81125-SP750   -00000000-5057
General Fund,Replacements Exp,Genl Fd Legal,Replacement Virtual Servers,850,850,2016,2016-1001-100-80140-00000000-00000000-5601-
General Fund,Supplies Exp,Genl Fd Splash Pads,Supplies Chemicals/Pesticides,2372,2372,2016,2016-1001-530-81125-AQ735   -00000000-5108
General Fund,Indirect Exp,Genl Fd Ultimate Frisbee,Recreation Indirect PARD Admin,6552,6552,2016,2016-1001-530-81125-SP766   -00000000-5810-
General Fund,Salaries/Benefit Exp,Genl Fd Technology Services,Salaries Cell Allowance,960,960,2016,2016-1001-600-81240-00000000-00000000-5021
General Fund,Salaries/Benefit Exp,Genl Fd Operations West Dist,Benefits Unemployment Comp Ins,253,253,2016,2016-1001-530-81143-00000000-00000000-5058
Water Fund,Salaries/Benefit Exp,Water Distribution Maintenance,Salaries Language Pay,584,584,2016,2016-5212-510-80910-00000000-WDISM   -5018-
General Fund,Salaries/Benefit Exp,Genl Fd Traffic Engineering,Benefits Group Health Ins,25398,25398,2016,2016-1001-440-80710-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd Jail,Benefits Group Health Ins,91815,91815,2016,2016-1001-410-80355-00000000-00000000-5055-
Electric Fund,Salaries/Benefit Exp,Elec T&D Overhead Line,Benefits Workers Comp Ins,1819,1819,2016,2016-5211-500-80870-00000000-583     -5057-
Property & Casualty Ins Fund,Non-Dept Ins Admin,P&C Ins Fd Non Dept Exp,Insure Claims Admin TPA,28560,28560,2016,2016-2221-910-89100-00000000-00000000-6114
Water Fund,Salaries/Benefit Exp,Water General Maintenance,Salaries Overtime,3815,3815,2016,2016-5212-510-80910-00000000-WGENM   -5014-
General Fund,Prof Svcs Exp,Genl Fd Recruiting & Training,Prof Svcs Pre Employment Costs,50,50,2016,2016-1001-410-80330-00000000-00000000-5307
General Fund,Maintenance Exp,Genl Fd Communications,Maint Miscellaneous,268,268,2016,2016-1001-410-80350-00000000-00000000-5299
General Fund,G&A Transfer Out,Genl Fd Adult Kickball,G&A Transfer Out General Fd,1023,1023,2016,2016-1001-530-81125-SP758   -00000000-6310
General Fund,Salaries/Benefit Exp,Genl Fd Civil Engineering,Benefits Car Allowance,3600,3600,2016,2016-1001-430-80510-00000000-00000000-5061
Water Fund,Salaries/Benefit Exp,Water General Operations,Benefits Group Life Insurance,376,376,2016,2016-5212-510-80900-00000000-WGENX   -5056-
General Fund,Purchased Services,Genl Fd Recruiting & Training,Training Outside,35999,46959,2016,2016-1001-410-80330-00000000-00000000-5551
General Fund,Purchased Services,Genl Fd Develop Svcs Bldg,Training Inhouse,250,250,2016,2016-1001-430-80520-00000000-00000000-5552
Community Development Fund,Salaries/Benefit Exp,Com Dev Fd Operations,Benefits Group Life Insurance,503,503,2016,2016-3122-450-80630-00000000-00000000-5056
General Fund,Misc Operating Exp,Genl Fd SW Center   Senior,Misc Postage & Freight,250,250,2016,2016-1001-530-81125-CT830   -00000000-5960
General Fund,Utilities Exp,Genl Fd Capital Projects Oper,Utilities Phone Long Distance,544,544,2016,2016-1001-440-80730-00000000-00000000-5405
Northgate Parking Fund,Utilities Exp,NG Pkg Fd Parking Oper,Utilities Sanitation,874,874,2016,2016-5202-450-80621-00000000-00000000-5408
General Fund,Salaries/Benefit Exp,Genl Fd Recreation Admin,Benefits Workers Comp Ins,1710,1710,2016,2016-1001-530-81110-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Capital Projects Oper,Benefits Group Life Insurance,1669,1669,2016,2016-1001-440-80730-00000000-00000000-5056
General Fund,Supplies Exp,Genl Fd Fire Training,Supplies Computer Hdw/Sftw/Oth,27900,27900,2016,2016-1001-420-80450-00000000-00000000-5112-
General Fund,Supplies Exp,Genl Fd Tourism Athletics,Supplies Promotional,3160,3160,2016,2016-1001-530-81122-00000000-00000000-5115
General Fund,Supplies Exp,Genl Fd Facilities Management,Supplies Goodwill,400,400,2016,2016-1001-440-80720-00000000-00000000-5116
General Fund,Misc Operating Exp,Genl Fd PARD Administration,Misc Memberships,19375,19375,2016,2016-1001-530-81100-00000000-00000000-5930
Utility Customer Service Fund,Salaries/Benefit Exp,UCS Fd Bill/Coll,Salaries Overtime,839,839,2016,2016-2226-300-80260-00000000-00000000-5014
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Salaries Cell Allowance,1080,1080,2016,2016-5214-440-80780-00000000-00000000-5021
General Fund,Purchased Services,Genl Fd GIS,Training Inhouse,1303,1303,2016,2016-1001-600-81220-00000000-00000000-5552
General Fund,Salaries/Benefit Exp,Genl Fd Purchasing,Benefits Car Allowance,3610,3610,2016,2016-1001-300-80220-00000000-00000000-5061
General Fund,Supplies Exp,Genl Fd Special Operations,Supplies Firearms & Ammunition,21207,24380,2016,2016-1001-410-80360-00000000-00000000-5123
General Fund,Maintenance Exp,Genl Fd Cemetery,Maint Machinery/Tools,882,882,2016,2016-1001-530-81144-00000000-00000000-5204
Electric Fund,Capital Outlay,Elec Fd ND Dir Cap St Equip,Cap Outlay El Plant Dist Dir,60000,60000,2016,2016-5211-500-89100-00000000-362     -6544-
Electric Fund,Salaries/Benefit Exp,Elec Dis Load Dispatching Dist,Benefits Group Life Insurance,621,621,2016,2016-5211-500-80830-00000000-581     -5056
Water Fund,Debt Service Xfr,Water Fd Non Dept Exp,Transfer Out Water I&S Fd,5130215,5130215,2016,2016-5212-910-89100-00000000-00000000-6891
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Miscellaneous,600,600,2016,2016-5214-440-80780-00000000-00000000-5199
Electric Fund,Supplies Exp,Elec T&D Indir Const Costs,Supplies Clothing/Uniforms,23630,23630,2016,2016-5211-500-80870-00000000-107.21  -5120
General Fund,Misc Operating Exp,Genl Fd Communication Services,Misc Memberships,426,426,2016,2016-1001-600-81270-00000000-00000000-5930
General Fund,Purchased Services,Genl Fd Communications,Training Inhouse,104,104,2016,2016-1001-410-80350-00000000-00000000-5552
General Fund,Salaries/Benefit Exp,Genl Fd Comm & Nhood Greenways,Salaries Full Time Labor,67665,67665,2016,2016-1001-430-80541-00000000-00000000-5011
General Fund,Supplies Exp,Genl Fd Fire Prevention,Supplies Office Supplies,1482,1482,2016,2016-1001-420-80430-00000000-00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd Recruiting & Training,Benefits Educational Reimburse,1000,1000,2016,2016-1001-410-80330-00000000-00000000-5059-
Water Fund,Salaries/Benefit Exp,Water Pumping/Treatment Maint,Salaries Standby,560,560,2016,2016-5212-510-80900-00000000-WPMPM   -5016-
General Fund,Supplies Exp,Genl Fd Economic Development,Supplies Office Supplies,1500,1500,2016,2016-1001-100-80170-00000000-00000000-5101-
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Parts,Benefits Group Health Ins,25040,25040,2016,2016-2227-440-80790-00000000-00000000-5055
General Fund,Purchased Services,Genl Fd Special Operations,Travel Lodging/Transport/Other,12848,13725,2016,2016-1001-410-80360-00000000-00000000-5570
Wastewater Fund,Prof Svcs Exp,WW General Plant Operations,Prof Svcs Medical,266,266,2016,2016-5213-520-80950-00000000-SGOPX   -5305-
Community Development Fund,Purchased Services,Com Dev Fd Operations,Travel Lodging/Transport/Other,5180,5180,2016,2016-3122-450-80630-00000000-00000000-5570
General Fund,Salaries/Benefit Exp,Genl Fd Aquatics Admin,Benefits Group Life Insurance,222,222,2016,2016-1001-530-81125-AQ730   -00000000-5056
General Fund,Purchased Services,Genl Fd Operations East Dist,Travel Lodging/Transport/Other,1,1,2016,2016-1001-530-81141-00000000-00000000-5570
General Fund,Supplies Exp,Genl Fd Special Operations,Supplies Clothing/Uniforms,25770,25770,2016,2016-1001-410-80360-00000000-00000000-5120
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Dev Coord,Benefits Workers Comp Ins,357,357,2016,2016-1001-430-80521-00000000-00000000-5057
General Fund,Purchased Services,Genl Fd Economic Development,Advertising Legal Notices,300,300,2016,2016-1001-100-80170-00000000-00000000-5540-
General Fund,Purchased Services,Genl Fd Economic Development,Travel Lodging/Transport/Other,17000,17000,2016,2016-1001-100-80170-00000000-00000000-5570-
General Fund,Supplies Exp,Genl Fd Account/Treasury Oper,Supplies Minor Equip/Tools,500,500,2016,2016-1001-300-80210-00000000-00000000-5102
Water Fund,Salaries/Benefit Exp,Water Source Operations,Salaries Standby,1158,1158,2016,2016-5212-510-80900-00000000-WSORX   -5016-
General Fund,Supplies Exp,Genl Fd Operations Admin,Supplies Miscellaneous,28883,28883,2016,2016-1001-530-81140-00000000-00000000-5199
General Fund,Salaries/Benefit Exp,Genl Fd Human Resources,Salaries Full Time Labor,421000,421000,2016,2016-1001-100-80160-00000000-00000000-5011
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Clothing/Uniforms,12000,12000,2016,2016-5214-440-80780-00000000-00000000-5120
General Fund,Salaries/Benefit Exp,Genl Fd Technology Services,Benefits Unemployment Comp Ins,307,307,2016,2016-1001-600-81240-00000000-00000000-5058
General Fund,Indirect Exp,Genl Fd Adult Kickball,Recreation Indirect Admin,10190,10190,2016,2016-1001-530-81125-SP758   -00000000-5800
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Special Events,Benefits Retirement,12042,12042,2016,2016-1001-530-81121-00000000-00000000-5051
General Fund,Prof Svcs Exp,Genl Fd Operations South Dist,Prof Svcs Janitorial,4800,4800,2016,2016-1001-530-81142-00000000-00000000-5309
General Fund,Salaries/Benefit Exp,Genl Fd Cemetery,Benefits Retirement,17264,17440,2016,2016-1001-530-81144-00000000-00000000-5051
General Fund,Supplies Exp,Genl Fd Municipal Court,Supplies Veh/Equip Fuel & Oil,3611,3611,2016,2016-1001-300-80240-00000000-00000000-5104
General Fund,Salaries/Benefit Exp,Genl Fd Technology Services,Benefits FICA,29598,29598,2016,2016-1001-600-81240-00000000-00000000-5050
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Janitorial,3285,3285,2016,2016-5212-510-80900-00000000-WGENX   -5309-
General Fund,Utilities Exp,Genl Fd IT Administration,Utilities Natural Gas,2793,2793,2016,2016-1001-600-81200-00000000-00000000-5401
General Fund,Salaries/Benefit Exp,Genl Fd Account/Treasury Oper,Benefits Educational Reimburse,1000,1000,2016,2016-1001-300-80210-00000000-00000000-5059
General Fund,Salaries/Benefit Exp,Genl Fd Operations South Dist,Salaries Standby,2146,2146,2016,2016-1001-530-81142-00000000-00000000-5016
General Fund,Salaries/Benefit Exp,Genl Fd Economic Development,Benefits Group Life Insurance,515,515,2016,2016-1001-100-80170-00000000-00000000-5056-
General Fund,Utilities Exp,Genl Fd Facilities Management,Utilities Mobile Phone,100,100,2016,2016-1001-440-80720-00000000-00000000-5406
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure Prem Critical Illness,90224,90224,2016,2016-2222-910-89100-00000000-00000000-6131
General Fund,Maintenance Exp,Genl Fd Splash Pads,Maint Heavy Equipment,400,400,2016,2016-1001-530-81125-AQ735   -00000000-5205
General Fund,Utilities Exp,Genl Fd Southwood Pool,Utilities Water,4012,4012,2016,2016-1001-530-81125-AQ731   -00000000-5402
Electric Fund,Salaries/Benefit Exp,Elec Dis Ld Disp,Salaries Standby,511,511,2016,2016-5211-500-80830-00000000-556     -5016-
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Salaries Full Time Labor,443662,443662,2016,2016-1001-100-80150-00000000-00000000-5011
General Fund,Utilities Exp,Genl Fd Facilities Management,Utilities Wastewater,1700,1700,2016,2016-1001-440-80720-00000000-00000000-5403
Wastewater Fund,Maintenance Exp,WW General Plant Maintenace,Maint Grounds,9060,9060,2016,2016-5213-520-80950-00000000-SGMTM   -5212-
Court Technology Fee Fund,Maintenance Exp,Court Tech Fd Operations,Maint Computer Hdw/Sftw/Other,31637,31637,2016,2016-3005-300-80240-00000000-00000000-5201
Truancy Prevention Fee Fund,Purchased Services,Truancy Fd Operations,Travel Lodging/Transport/Other,1500,1500,2016,2016-3010-300-80240-00000000-00000000-5570-
General Fund,Purchased Services,Genl Fd Capital Projects Oper,Training Outside,5500,5500,2016,2016-1001-440-80730-00000000-00000000-5551
General Fund,Purchased Services,Genl Fd Public Works Admin,Advertising Promotional,125,125,2016,2016-1001-440-80700-00000000-00000000-5542
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Salaries Full Time Labor,177006,177006,2016,2016-5211-500-80800-00000000-163     -5011
General Fund,Salaries/Benefit Exp,Genl Fd City Manager,Salaries Overtime,3854,3854,2016,2016-1001-100-80130-00000000-00000000-5014
Water Fund,Purchased Services,Water General Operations,Training Safety,4959,4959,2016,2016-5212-510-80910-00000000-WGENX   -5553-
Electric Fund,Maintenance Exp,Elec Dis Mnt Comp Sftw Trans,Maint Computer Hdw/Sftw/Other,5200,5200,2016,2016-5211-500-80830-00000000-569.2   -5201-
General Fund,Salaries/Benefit Exp,Genl Fd Information Services,Benefits FICA,25741,25827,2016,2016-1001-410-80370-00000000-00000000-5050
General Fund,Supplies Exp,Genl Fd Adult Kickball,Supplies Goodwill,106,106,2016,2016-1001-530-81125-SP758   -00000000-5116
Employee Benefits Fund,Non-Dept Ins Admin,Empl Ben Ins Fd Non Dept Exp,Insure Admin Empl Assist,16207,16207,2016,2016-2222-910-89100-00000000-00000000-6110
General Fund,Supplies Exp,Genl Fd Water Fitness,Supplies Office Supplies,140,140,2016,2016-1001-530-81125-AQ737   -00000000-5101
"Public, Ed & Gov't Fee Fund",Dept Capital Exp,PEG Fd Non Dept Exp,Capital Miscellaneous,66700,66700,2016,2016-3353-910-89100-00000000-00000000-5799
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits Gym Membership,241,241,2016,2016-1001-100-80110-00000000-00000000-5060
General Fund,Prof Svcs Exp,Genl Fd Fire Suppression,Prof Svcs Medical,71000,71000,2016,2016-1001-420-80420-00000000-00000000-5305
General Fund,Purchased Services,Genl Fd Human Resources,Advertising Legal Notices,200,200,2016,2016-1001-100-80160-00000000-00000000-5540
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Distribution,Salaries Overtime,3240,3240,2016,2016-5211-500-80820-00000000-582     -5014-
General Fund,Maintenance Exp,Genl Fd Communications,Maint Computer Hdw/Sftw/Other,701,701,2016,2016-1001-410-80350-00000000-00000000-5201
General Fund,Prof Svcs Exp,Genl Fd CSISD Natatorium,Prof Svcs Miscellaneous,65000,65000,2016,2016-1001-530-81125-AQ734   -00000000-5399
General Fund,Maintenance Exp,Genl Fd Adamson Lagoon,Maint Heavy Equipment,2012,2012,2016,2016-1001-530-81125-AQ733   -00000000-5205
General Fund,Supplies Exp,Genl Fd Thomas Pool,Supplies Office Supplies,319,319,2016,2016-1001-530-81125-AQ732   -00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd Aquatics Admin,Salaries Temp/Seasonal/PTNB,57817,57817,2016,2016-1001-530-81125-AQ730   -00000000-5013
General Fund,Salaries/Benefit Exp,Genl Fd Swim Team,Benefits Unemployment Comp Ins,15,15,2016,2016-1001-530-81125-AQ738   -00000000-5058
General Fund,Prof Svcs Exp,Genl Fd Landscape/Irrigation,Prof Svcs Pre Employment Costs,250,250,2016,2016-1001-440-80760-00000000-00000000-5307
Electric Fund,Utility Transfer,Electric Fd Non Dept Exp,Nonoper Exp Utility Trsf GF,6893217,0,2016,2016-5211-910-89100-00000000-00000000-6770
General Fund,Purchased Services,Genl Fd PARD Administration,Printing External,34782,34782,2016,2016-1001-530-81100-00000000-00000000-5582
General Fund,Salaries/Benefit Exp,Genl Fd Operations Admin,Benefits FICA,16702,16860,2016,2016-1001-530-81140-00000000-00000000-5050
General Fund,Supplies Exp,Genl Fd Adamson Lagoon,Supplies Awards,412,412,2016,2016-1001-530-81125-AQ733   -00000000-5121
General Fund,Salaries/Benefit Exp,Genl Fd Recreation Admin,Salaries Cell Allowance,360,360,2016,2016-1001-530-81110-00000000-00000000-5021
General Fund,Supplies Exp,Genl Fd Neighborhood Services,Supplies Office Supplies,500,500,2016,2016-1001-100-80151-00000000-00000000-5101
General Fund,Supplies Exp,Genl Fd Swim Team,Supplies Recreational,875,875,2016,2016-1001-530-81125-AQ738   -00000000-5118
General Fund,Purchased Services,Genl Fd Human Resources,Rent/Lease Building/Structure,2500,2500,2016,2016-1001-100-80160-00000000-00000000-5501
General Fund,Purchased Services,Genl Fd Recruiting & Training,Printing External,1607,1607,2016,2016-1001-410-80330-00000000-00000000-5582
Sanitation Fund,Purchased Services,Sanitation Fd Commercial,Travel Lodging/Transport/Other,4100,4100,2016,2016-5214-440-80781-00000000-00000000-5570
Water Fund,Replacements Exp,Water General Maintenance,Replacement Copiers,2590,2590,2016,2016-5212-510-80910-00000000-WGENM   -5603-
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Salaries Cell Allowance,600,600,2016,2016-1001-530-81100-00000000-00000000-5021
General Fund,Utilities Exp,Genl Fd Capital Projects Oper,Utilities Local Phone,556,556,2016,2016-1001-440-80730-00000000-00000000-5404
Drainage Utility Fund,G&A Transfer Out,Drainage Fd Non Dept Exp,Interdept Exp Utility Billing,76074,76074,2016,2016-3912-910-89100-00000000-00000000-6010
General Fund,Purchased Services,Genl Fd Special Operations,Printing External,2500,2500,2016,2016-1001-410-80360-00000000-00000000-5582
General Fund,Purchased Services,Genl Fd P&DS Administration,Advertising Legal Notices,331,331,2016,2016-1001-430-80500-00000000-00000000-5540
General Fund,Salaries/Benefit Exp,Genl Fd Fire Prevention,Benefits Car Allowance,7220,7220,2016,2016-1001-420-80430-00000000-00000000-5061
Hotel Tax Fund,Non-Dept Misc Exp,Hotel Tax Fd Non Dept Exp,Nonoper Exp Miscellaneous,25000,25000,2016,2016-3121-910-89100-00000000-00000000-6790
Workers' Compensation Ins Fund,Salaries/Benefit Exp,WC Ins Fd Operations,Benefits Retirement,12964,12964,2016,2016-2223-100-80160-00000000-00000000-5051
Electric Fund,Purchased Services,Elec Sub Safety,Training Outside,13159,13159,2016,2016-5211-500-80820-00000000-925     -5551-
General Fund,Supplies Exp,Genl Fd Support Services,Supplies Minor Equip/Tools,10041,10041,2016,2016-1001-410-80340-00000000-00000000-5102
Community Development Fund,Supplies Exp,Com Dev Fd Operations,Supplies Miscellaneous,750,750,2016,2016-3122-450-80630-00000000-00000000-5199
Property & Casualty Ins Fund,Prof Svcs Exp,P&C Ins Fd Operations,Prof Svcs Miscellaneous,11550,11550,2016,2016-2221-100-80160-00000000-00000000-5399
